route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000070,OCESN13168F730520:2022-02-14T09:22:38Z,13168,0,,
OCESN-1998130,000069,OCESN13168F730546:2022-03-04T01:43:16Z,13168,0,,
OCESN-1998130,000041,OCESN13168F730874:2022-02-14T09:22:38Z,13168,0,,
OCESN-1998130,000034,OCESN13170F540851:2022-03-08T20:46:18Z,13170,0,,
OCESN-1998130,000037,OCESN13170F711356:2022-03-01T20:49:34Z,13170,0,,
OCESN-1998130,000090,OCESN13171F540662:2022-03-10T20:29:31Z,13171,1,,
OCESN-1998130,000091,OCESN13171F715007:2022-03-10T20:29:31Z,13171,1,,
OCESN-1998130,000064,OCESN13171F763910:2022-03-04T20:33:16Z,13171,1,,
OCESN-1998130,000082,OCESN13172F723551:2022-03-10T20:29:31Z,13172,0,,
OCESN-1998130,000045,OCESN13172F730533:2022-02-17T20:29:31Z,13172,0,,
OCESN-1998130,000047,OCESN13172F743935:2022-02-14T09:22:38Z,13172,0,,
OCESN-1998130,000050,OCESN13172F763981:2022-03-04T20:33:16Z,13172,0,,
OCESN-1998130,000038,OCESN13173F540630:2022-03-08T20:46:18Z,13173,1,,
OCESN-1998130,000039,OCESN13173F712285:2022-02-22T20:26:28Z,13173,1,,
OCESN-1998130,000038,OCESN13174F540577:2022-03-08T20:46:18Z,13174,0,,
OCESN-1998130,000039,OCESN13174F712997:2022-02-22T20:26:28Z,13174,0,,
OCESN-1998130,000038,OCESN13175F541258:2022-03-08T20:46:18Z,13175,1,,
OCESN-1998130,000039,OCESN13175F711939:2022-02-22T20:26:28Z,13175,1,,
OCESN-1998130,000064,OCESN13177F713218:2022-03-04T20:33:16Z,13177,1,,
OCESN-1998130,000092,OCESN13177F714179:2022-03-10T20:29:31Z,13177,1,,
OCESN-1998130,000045,OCESN13177F730883:2022-02-14T09:22:38Z,13177,1,,
OCESN-1998130,000079,OCESN13177F743990:2022-03-04T20:33:16Z,13177,1,,
OCESN-1998130,000093,OCESN13177F764077:2022-03-04T20:33:16Z,13177,1,,
OCESN-1998130,000094,OCESN13179F549223:2022-03-10T20:29:31Z,13179,1,,
OCESN-1998130,000095,OCESN13179F710418:2022-02-25T20:43:50Z,13179,1,,
